iter	Passed	Remaining
0	4	807
1	7	789
2	11	766
3	15	770
4	19	774
5	23	761
6	26	735
7	30	728
8	34	725
9	38	722
10	42	721
11	45	719
12	49	712
13	53	706
14	57	705
15	61	702
16	65	701
17	68	697
18	71	683
19	74	668
20	77	664
21	81	658
22	85	657
23	89	652
24	93	652
25	97	652
26	101	650
27	105	646
28	108	640
29	112	638
30	114	625
31	119	625
32	123	622
33	127	621
34	131	618
35	135	615
36	138	612
37	143	610
38	147	607
39	151	605
40	155	603
41	159	600
42	164	599
43	168	597
44	172	593
45	176	589
46	179	585
47	184	582
48	188	580
49	192	576
50	196	572
51	200	569
52	204	566
53	208	563
54	212	560
55	216	557
56	220	553
57	224	550
58	228	546
59	232	542
60	236	538
61	240	535
62	244	531
63	248	527
64	252	524
65	256	521
66	260	517
67	264	513
68	268	510
69	272	506
70	276	502
71	280	498
72	284	494
73	288	491
74	292	487
75	296	483
76	300	479
77	304	475
78	308	471
79	312	468
80	316	464
81	320	460
82	323	456
83	327	452
84	331	448
85	335	444
86	339	441
87	343	437
88	347	433
89	351	429
90	354	425
91	358	421
92	362	417
93	366	413
94	370	409
95	374	405
96	378	401
97	381	397
98	385	393
99	389	389
100	393	385
101	397	381
102	401	377
103	404	373
104	408	369
105	412	366
106	416	362
107	420	358
108	424	354
109	428	350
110	432	346
111	436	342
112	440	338
113	444	335
114	448	331
115	451	327
116	455	323
117	459	319
118	463	315
119	467	311
120	471	308
121	475	304
122	479	300
123	483	296
124	487	292
125	491	288
126	496	285
127	500	281
128	504	277
129	508	273
130	512	269
131	516	265
132	520	262
133	524	258
134	528	254
135	532	250
136	536	246
137	540	242
138	544	238
139	548	235
140	552	231
141	556	227
142	560	223
143	564	219
144	568	215
145	572	211
146	576	207
147	581	204
148	585	200
149	589	196
150	593	192
151	597	188
152	600	184
153	604	180
154	608	176
155	612	172
156	616	168
157	620	165
158	625	161
159	629	157
160	633	153
161	637	149
162	641	145
163	645	141
164	649	137
165	653	133
166	657	129
167	661	125
168	665	122
169	669	118
170	673	114
171	677	110
172	681	106
173	685	102
174	689	98
175	693	94
176	697	90
177	701	86
178	705	82
179	709	78
180	713	74
181	717	70
182	721	67
183	725	63
184	729	59
185	733	55
186	737	51
187	741	47
188	745	43
189	749	39
190	752	35
191	757	31
192	761	27
193	765	23
194	768	19
195	772	15
196	776	11
197	780	7
198	785	3
199	788	0
